session_id,user_id,call_timestamp,data_usage_mb,call_duration_min,plan_type,dropped_calls,complaint,app_frequency,app_category,tower_id,device_type,name,region_x,age,gender,join_date,arpu,tenure_months,recharge_id,amount,region_y,recharge_date,payment_mode,recharge_channel,successful,next_recharge_date,price,validity_days,data_limit_gb,sms_limit,plan_category,promo_offer,latitude,longitude,network_type,signal_strength_dbm,outage_flag,usage_id,monthly_data_gb,monthly_calls_min,complaints_count,usage_category,complaint_flag,churn,complaint_id,issue,complaint_date,severity,resolution_status,resolution_time_hours
64,111,7/28/2025 23:19,2669,42.81326646,Postpaid,3,No,34,Social,T4,Feature,Manoj,Chennai,32,Female,4/8/2020,337,46,,,,,,,,,399,30,20,500,Regular,20% Cashback,22.5,88.3,3G,-58,No,11,14.73161045,977.0925387,3,Medium,Yes,No,10,Network Issue,2/19/2025,Low,Pending,50
8,102,8/10/2025 8:49,1151,11.3929388,Basic,3,Yes,30,Utility,T3,iOS,Priya,Hyderabad,27,Female,3/18/2020,445,56,4,499,Delhi,5/18/2025,Wallet,Retail Store,No,6/15/2025,199,28,5,100,Economy,10% Off,12.9,77.5,4G,-57,No,2,40.96977913,117.739484,0,High,No,No,49,Call Drop,5/25/2025,High,In Progress,33
4,101,8/12/2025 16:58,1584,10.6739257,Basic,0,No,32,Streaming,T4,iOS,Amit,Chennai,41,Female,12/11/2020,851,16,,,,,,,,,199,28,5,100,Economy,10% Off,22.5,88.3,3G,-58,No,1,40.21758863,124.3863933,2,High,Yes,No,29,Call Drop,3/30/2025,High,In Progress,30
130,122,8/15/2025 1:49,2693,7.536181127,Postpaid,1,No,45,Social,T3,Android,Simran,Hyderabad,22,Female,11/15/2021,278,42,64,799,Bangalore,1/18/2025,UPI,Retail Store,No,2/15/2025,399,30,20,500,Regular,20% Cashback,12.9,77.5,4G,-57,No,22,22.52453984,962.7644596,0,Medium,No,Yes,,,,,,
18,103,8/6/2025 19:25,500,33.31330299,Postpaid,4,No,34,Gaming,T3,Android,Rahul,Bangalore,55,Female,5/4/2022,874,22,7,399,Mumbai,2/11/2025,Wallet,Retail Store,Yes,3/11/2025,399,30,20,500,Regular,20% Cashback,12.9,77.5,4G,-57,No,3,12.3555904,687.4714971,1,Medium,Yes,No,39,Call Drop,4/9/2025,Medium,In Progress,67
68,112,8/25/2025 6:20,2837,26.65478279,Postpaid,0,No,33,Social,T5,iOS,Sakshi,Bangalore,38,Female,4/2/2020,529,33,,,,,,,,,399,30,20,500,Regular,20% Cashback,13,80.2,5G,-68,Yes,12,52.3711426,538.6880784,0,High,No,No,50,Slow Internet,2/20/2025,Medium,Resolved,11
28,105,8/3/2025 17:02,727,5.618018495,Unlimited,3,No,38,Gaming,T4,Android,Kiran,Hyderabad,29,Female,11/24/2021,898,40,,,,,,,,,799,84,,,Ultra,5G Access,22.5,88.3,3G,-58,No,5,56.77576408,226.9736639,1,High,Yes,Yes,9,Slow Internet,1/26/2025,Medium,Resolved,34
49,109,7/2/2025 8:58,1815,3.66989358,Unlimited,2,Yes,37,Gaming,T1,Android,Arjun,Bangalore,45,Male,9/27/2020,366,47,27,299,Bangalore,1/19/2025,Cash,App,Yes,2/16/2025,799,84,,,Ultra,5G Access,28.7,77.1,4G,-81,Yes,9,23.05743431,130.8052997,3,Medium,Yes,No,33,Network Issue,6/4/2025,Medium,Pending,17
101,117,8/21/2025 19:25,1135,43.22420352,Premium,3,No,24,Utility,T4,Feature,Aarav,Chennai,51,Female,3/23/2020,962,39,49,399,Delhi,5/10/2025,UPI,Retail Store,No,6/7/2025,499,56,50,1000,Advanced,Free OTT,22.5,88.3,3G,-58,No,17,30.8892637,160.4578599,4,High,Yes,No,3,Call Drop,6/22/2025,Medium,Pending,52
51,109,8/17/2025 15:49,1226,5.669940995,Basic,4,Yes,32,Shopping,T4,iOS,Arjun,Bangalore,24,Male,9/27/2020,366,47,25,799,Hyderabad,3/28/2025,Card,Retail Store,Yes,4/25/2025,199,28,5,100,Economy,10% Off,22.5,88.3,3G,-58,No,9,23.05743431,130.8052997,3,Medium,Yes,Yes,48,Network Issue,2/7/2025,Low,Pending,4
