session_id,user_id,call_timestamp,data_usage_mb,call_duration_min,plan_type,dropped_calls,complaint,app_frequency,app_category,tower_id,device_type,name,region_x,age,gender,join_date,arpu,tenure_months,recharge_id,amount,region_y,recharge_date,payment_mode,recharge_channel,successful,next_recharge_date,price,validity_days,data_limit_gb,sms_limit,plan_category,promo_offer,latitude,longitude,network_type,signal_strength_dbm,outage_flag,usage_id,monthly_data_gb,monthly_calls_min,complaints_count,usage_category,complaint_flag,churn,complaint_id,issue,complaint_date,severity,resolution_status,resolution_time_hours
64.0,111.0,07-28-2025,2669.0,42.8132664584296,POSTPAID,3.0,No,34.0,social,T4,feature,MANOJ,,21.0,FEMALE,2020-04-08,337.0,46.0,,,,,,,,,,30.0,20.0,500.0,REGULAR,20% CASHBACK,22.5,88.3,3G,-58.0,No,11.0,14.731610454695604,977.0925386789828,3.0,medium,YES,no,10.0,network issue,19/02/2025,low,Pending,50.0
8.0,102.0,2025-08-10,1151.0,11.392938800323844,basic,3.0,Yes,30.0,utility,t3,ios,Priya,HYDERABAD,45.0,FEMALE,03-18-2020,445.0,56.0,,499.0,DELHI,18/05/2025,wallet,Retail Store,No,15/06/2025,199.0,28.0,5.0,100.0,ECONOMY,10% Off,12.9,77.5,4G,-57.0,No,,40.969779128726245,117.73948397892774,0.0,High,,No,49.0,CALL DROP,2025-05-25,HIGH,IN PROGRESS,33.0
4.0,101.0,2025-08-12,1584.0,10.673925700422036,basic,0.0,no,32.0,Streaming,t4,ios,amit,CHENNAI,44.0,Female,12-11-2020,851.0,16.0,,,,,,,,,199.0,28.0,5.0,100.0,ECONOMY,10% OFF,22.5,88.3,3G,-58.0,no,1.0,40.21758863078878,124.38639325313514,2.0,HIGH,yes,No,29.0,Call Drop,30/03/2025,High,IN PROGRESS,30.0
130.0,122.0,15/08/2025,2693.0,7.536181126884688,POSTPAID,1.0,No,45.0,SOCIAL,T3,ANDROID,SIMRAN,HYDERABAD,31.0,Female,15/11/2021,278.0,42.0,64.0,799.0,Bangalore,18/01/2025,UPI,Retail Store,NO,15/02/2025,399.0,30.0,20.0,500.0,regular,20% CASHBACK,12.9,77.5,4g,-57.0,no,22.0,22.524539840552467,962.7644595818984,0.0,medium,NO,,,,,,,
18.0,103.0,2025-08-06,500.0,33.313302990309964,postpaid,4.0,No,34.0,GAMING,t3,ANDROID,,Bangalore,33.0,,2022-05-04,,22.0,7.0,399.0,Mumbai,11/02/2025,Wallet,Retail Store,Yes,03-11-2025,399.0,30.0,20.0,500.0,REGULAR,20% CASHBACK,12.9,77.5,4g,-57.0,No,3.0,12.35559039915135,687.4714970666872,1.0,medium,Yes,no,39.0,Call Drop,,MEDIUM,In Progress,67.0
68.0,112.0,25/08/2025,2837.0,26.654782791893133,postpaid,0.0,NO,33.0,social,t5,IOS,sakshi,BANGALORE,42.0,female,02/04/2020,529.0,,,,,,,,,,399.0,,20.0,500.0,,20% cashback,13.0,80.2,5G,-68.0,YES,12.0,52.37114260207894,,,HIGH,NO,no,50.0,slow internet,2025-02-20,medium,resolved,11.0
28.0,,2025-08-03,727.0,5.6180184947871,unlimited,3.0,No,38.0,gaming,T4,Android,Kiran,hyderabad,20.0,Female,24/11/2021,898.0,40.0,,,,,,,,,,84.0,,,ULTRA,5g access,22.5,,3g,-58.0,NO,5.0,56.77576408348186,226.9736638999422,1.0,high,Yes,Yes,9.0,Slow Internet,26/01/2025,MEDIUM,RESOLVED,34.0
49.0,109.0,2025-07-02,1815.0,3.6698935804651978,unlimited,2.0,YES,37.0,gaming,T1,ANDROID,Arjun,Bangalore,26.0,MALE,2020-09-27,366.0,47.0,27.0,299.0,BANGALORE,19/01/2025,Cash,APP,YES,02-16-2025,799.0,84.0,,,ultra,5g access,28.7,77.1,4G,-81.0,yes,9.0,23.05743430731525,130.8052997384762,3.0,medium,yes,no,33.0,NETWORK ISSUE,2025-06-04,medium,PENDING,17.0
101.0,117.0,21/08/2025,1135.0,43.22420351853739,PREMIUM,3.0,No,24.0,Utility,T4,Feature,aarav,Chennai,,,2020-03-23,962.0,39.0,49.0,399.0,,2025-05-10,,Retail Store,no,2025-06-07,499.0,56.0,50.0,1000.0,ADVANCED,Free Ott,22.5,88.3,3g,-58.0,No,17.0,,160.4578599241391,,HIGH,yes,No,,CALL DROP,06-22-2025,Medium,,52.0
51.0,109.0,17/08/2025,1226.0,5.669940994732023,basic,4.0,YES,32.0,shopping,T4,Ios,arjun,bangalore,26.0,male,27/09/2020,366.0,47.0,25.0,799.0,HYDERABAD,2025-03-28,CARD,retail store,Yes,25/04/2025,199.0,28.0,5.0,100.0,economy,10% off,22.5,88.3,3g,-58.0,No,9.0,23.05743430731525,130.8052997384762,3.0,Medium,Yes,No,48.0,NETWORK ISSUE,07/02/2025,low,Pending,4.0
