session_id,user_id,call_timestamp,data_usage_mb,call_duration_min,plan_type,dropped_calls,complaint,app_frequency,app_category,tower_id,device_type,name,region_x,age,gender,join_date,arpu,tenure_months,recharge_id,amount,region_y,recharge_date,payment_mode,recharge_channel,successful,next_recharge_date,price,validity_days,data_limit_gb,sms_limit,plan_category,promo_offer,latitude,longitude,network_type,signal_strength_dbm,outage_flag,usage_id,monthly_data_gb,monthly_calls_min,complaints_count,usage_category,complaint_flag,churn,complaint_id,issue,complaint_date,severity,resolution_status,resolution_time_hours
74,113,2025-08-12 22:28:09,512,3.6850120470527887,Postpaid,0,Yes,21,Shopping,T5,iOS,Rohit,Hyderabad,31,Female,2020-10-18,642,12,,,,,,,,,399,30,20.0,500.0,Regular,20% Cashback,13.0,80.2,5G,-68,Yes,13,31.72254404115145,767.518249805799,1,High,Yes,No,12.0,Recharge Failed,2025-08-16,High,In Progress,64.0
133,123,2025-08-06 00:31:10,1380,5.634231330269323,Unlimited,2,No,15,Shopping,T2,Feature,Harsh,Chennai,34,Male,2023-10-27,797,40,67.0,399.0,Chennai,2025-06-07,UPI,Website,No,2025-07-05,799,84,,,Ultra,5G Access,19.0,72.8,5G,-72,No,23,36.98282234905052,320.81419871318883,4,High,Yes,No,21.0,Call Drop,2025-08-24,High,Resolved,50.0
103,118,2025-07-28 21:38:29,2845,11.863974065312837,Prepaid,3,Yes,28,Utility,T5,Android,Tanya,Hyderabad,45,Male,2024-10-09,214,38,52.0,799.0,Delhi,2025-08-15,Wallet,Retail Store,Yes,2025-09-12,299,28,10.0,300.0,Standard,15% Off,13.0,80.2,5G,-68,Yes,18,50.12502461501769,285.7791445845429,1,High,Yes,No,43.0,Recharge Failed,2025-01-27,Low,Pending,5.0
143,124,2025-07-13 14:54:13,1405,28.12487455862363,Unlimited,2,No,45,Streaming,T5,Android,Pooja,Delhi,53,Female,2022-05-14,621,49,70.0,799.0,Bangalore,2025-03-14,UPI,App,No,2025-04-11,799,84,,,Ultra,5G Access,13.0,80.2,5G,-68,Yes,24,27.35721698872013,923.9623095627226,2,High,Yes,No,18.0,Call Drop,2025-04-25,High,Pending,21.0
27,105,2025-07-30 06:44:18,1782,33.2160941914203,Unlimited,2,Yes,20,Shopping,T1,Android,Kiran,Hyderabad,20,Female,2021-11-24,898,40,,,,,,,,,799,84,,,Ultra,5G Access,28.7,77.1,4G,-81,Yes,5,56.77576408348186,226.9736638999422,1,High,Yes,Yes,41.0,Network Issue,2025-03-01,Medium,Pending,52.0
39,107,2025-07-09 07:29:33,706,43.435659014837874,Prepaid,0,No,21,Utility,T1,Feature,Vikram,Bangalore,24,Female,2020-11-14,202,38,19.0,799.0,Hyderabad,2025-07-15,UPI,Retail Store,No,2025-08-12,299,28,10.0,300.0,Standard,15% Off,28.7,77.1,4G,-81,Yes,7,52.83375640076704,678.633007252828,1,High,Yes,No,,,,,,
101,117,2025-08-21 19:25:48,1135,43.22420351853739,Premium,3,No,24,Utility,T4,Feature,Aarav,Chennai,37,Female,2020-03-23,962,39,51.0,799.0,Chennai,2025-02-11,UPI,App,Yes,2025-03-11,499,56,50.0,1000.0,Advanced,Free OTT,22.5,88.3,3G,-58,No,17,30.88926370363833,160.4578599241391,4,High,Yes,No,40.0,Slow Internet,2025-05-26,Low,Resolved,39.0
106,118,2025-08-06 09:26:34,1681,5.276616322764015,Premium,1,Yes,5,Streaming,T1,Feature,Tanya,Hyderabad,45,Male,2024-10-09,214,38,,,,,,,,,499,56,50.0,1000.0,Advanced,Free OTT,28.7,77.1,4G,-81,Yes,18,50.12502461501769,285.7791445845429,1,High,Yes,No,17.0,Slow Internet,2025-07-26,Low,Pending,50.0
114,119,2025-08-16 21:57:23,2604,7.553854851514284,Basic,2,Yes,45,Utility,T5,Feature,Kabir,Delhi,24,Female,2021-09-09,988,53,57.0,499.0,Mumbai,2025-04-08,Card,Website,No,2025-05-06,199,28,5.0,100.0,Economy,10% Off,13.0,80.2,5G,-68,Yes,19,17.293660552807754,339.848554033794,2,Medium,Yes,No,,,,,,
2,101,2025-07-16 10:51:53,1585,38.5032944434416,Premium,4,No,26,Gaming,T3,Android,Amit,Chennai,44,Female,2020-12-11,851,16,,,,,,,,,499,56,50.0,1000.0,Advanced,Free OTT,12.9,77.5,4G,-57,No,1,40.21758863078878,124.38639325313514,2,High,Yes,No,29.0,Call Drop,2025-03-30,High,In Progress,30.0
100,117,2025-08-30 12:17:58,1649,14.663239714095484,Premium,0,Yes,3,Gaming,T1,Feature,Aarav,Chennai,37,Female,2020-03-23,962,39,51.0,799.0,Chennai,2025-02-11,UPI,App,Yes,2025-03-11,499,56,50.0,1000.0,Advanced,Free OTT,28.7,77.1,4G,-81,Yes,17,30.88926370363833,160.4578599241391,4,High,Yes,No,40.0,Slow Internet,2025-05-26,Low,Resolved,39.0
85,115,2025-07-10 01:11:35,334,32.350753806783864,Prepaid,3,Yes,9,Utility,T2,Android,Varun,Chennai,43,Female,2021-12-23,306,13,,,,,,,,,299,28,10.0,300.0,Standard,15% Off,19.0,72.8,5G,-72,No,15,9.672020245269165,910.5150711127473,1,Low,Yes,No,35.0,Network Issue,2025-02-06,High,Resolved,20.0
24,104,2025-07-12 02:52:51,1734,11.827650937283886,Prepaid,1,No,48,Social,T1,Feature,Sneha,Hyderabad,32,Female,2022-01-30,869,13,,,,,,,,,299,28,10.0,300.0,Standard,15% Off,28.7,77.1,4G,-81,Yes,4,59.34626935341568,642.8776619592817,2,High,Yes,No,11.0,Recharge Failed,2025-04-17,High,In Progress,30.0
51,109,2025-08-17 15:49:48,1226,5.669940994732023,Basic,4,Yes,32,Shopping,T4,iOS,Arjun,Bangalore,26,Male,2020-09-27,366,47,25.0,799.0,Hyderabad,2025-03-28,Card,Retail Store,Yes,2025-04-25,199,28,5.0,100.0,Economy,10% Off,22.5,88.3,3G,-58,No,9,23.05743430731525,130.8052997384762,3,Medium,Yes,No,48.0,Network Issue,2025-02-07,Low,Pending,4.0
35,106,2025-08-29 06:10:33,897,29.739444567314287,Premium,0,No,5,Social,T4,iOS,Anjali,Mumbai,54,Female,2021-03-09,487,40,,,,,,,,,499,56,50.0,1000.0,Advanced,Free OTT,22.5,88.3,3G,-58,No,6,6.959494789559148,287.0976296314246,2,Low,Yes,No,16.0,Billing Error,2025-08-21,Low,Resolved,50.0
32,106,2025-07-27 05:20:15,497,15.992187020848512,Unlimited,3,No,8,Utility,T3,iOS,Anjali,Mumbai,54,Female,2021-03-09,487,40,,,,,,,,,799,84,,,Ultra,5G Access,12.9,77.5,4G,-57,No,6,6.959494789559148,287.0976296314246,2,Low,Yes,No,37.0,Slow Internet,2025-06-15,Medium,Resolved,2.0
55,110,2025-07-06 04:55:05,1953,37.94714518202485,Prepaid,0,Yes,12,Shopping,T5,iOS,Neha,Hyderabad,35,Female,2023-08-03,913,44,,,,,,,,,299,28,10.0,300.0,Standard,15% Off,13.0,80.2,5G,-68,Yes,10,25.745875827091943,596.8424627667822,1,High,Yes,No,19.0,Recharge Failed,2025-06-26,Low,Pending,64.0
29,105,2025-08-19 02:58:26,353,2.395473219515075,Postpaid,0,Yes,35,Utility,T1,iOS,Kiran,Hyderabad,20,Female,2021-11-24,898,40,,,,,,,,,399,30,20.0,500.0,Regular,20% Cashback,28.7,77.1,4G,-81,Yes,5,56.77576408348186,226.9736638999422,1,High,Yes,Yes,30.0,Billing Error,2025-06-10,Medium,Resolved,50.0
137,123,2025-08-05 15:57:08,2953,24.902542457566,Unlimited,0,No,37,Social,T4,iOS,Harsh,Chennai,34,Male,2023-10-27,797,40,67.0,399.0,Chennai,2025-06-07,UPI,Website,No,2025-07-05,799,84,,,Ultra,5G Access,22.5,88.3,3G,-58,No,23,36.98282234905052,320.81419871318883,4,High,Yes,No,21.0,Call Drop,2025-08-24,High,Resolved,50.0
42,107,2025-07-24 14:56:31,254,14.697495302014364,Postpaid,1,No,17,Utility,T1,Feature,Vikram,Bangalore,24,Female,2020-11-14,202,38,,,,,,,,,399,30,20.0,500.0,Regular,20% Cashback,28.7,77.1,4G,-81,Yes,7,52.83375640076704,678.633007252828,1,High,Yes,No,,,,,,
147,125,2025-07-07 04:06:03,567,43.68722863084086,Premium,3,No,15,Gaming,T1,Feature,Ritesh,Delhi,21,Male,2020-01-21,212,45,73.0,299.0,Mumbai,2025-05-07,UPI,App,No,2025-06-04,499,56,50.0,1000.0,Advanced,Free OTT,28.7,77.1,4G,-81,Yes,25,34.85146913722004,528.4453619791897,4,High,Yes,No,,,,,,
100,117,2025-08-30 12:17:58,1649,14.663239714095484,Premium,0,Yes,3,Gaming,T1,Feature,Aarav,Chennai,37,Female,2020-03-23,962,39,51.0,799.0,Chennai,2025-02-11,UPI,App,Yes,2025-03-11,499,56,50.0,1000.0,Advanced,Free OTT,28.7,77.1,4G,-81,Yes,17,30.88926370363833,160.4578599241391,4,High,Yes,No,32.0,Network Issue,2025-06-26,Medium,Resolved,31.0
78,113,2025-07-04 13:30:37,2209,23.35213119937234,Premium,0,Yes,22,Gaming,T5,iOS,Rohit,Hyderabad,31,Female,2020-10-18,642,12,38.0,799.0,Hyderabad,2025-05-30,Card,App,Yes,2025-06-27,499,56,50.0,1000.0,Advanced,Free OTT,13.0,80.2,5G,-68,Yes,13,31.72254404115145,767.518249805799,1,High,Yes,No,25.0,Call Drop,2025-08-03,Medium,In Progress,57.0
61,111,2025-07-08 21:10:49,1192,6.048750495548085,Prepaid,3,Yes,5,Streaming,T4,Feature,Manoj,Chennai,21,Female,2020-04-08,337,46,,,,,,,,,299,28,10.0,300.0,Standard,15% Off,22.5,88.3,3G,-58,No,11,14.731610454695604,977.0925386789828,3,Medium,Yes,No,13.0,Recharge Failed,2025-08-01,Low,Resolved,23.0
20,104,2025-07-07 15:53:32,1894,27.4083965570944,Basic,2,Yes,36,Streaming,T3,Android,Sneha,Hyderabad,32,Female,2022-01-30,869,13,,,,,,,,,199,28,5.0,100.0,Economy,10% Off,12.9,77.5,4G,-57,No,4,59.34626935341568,642.8776619592817,2,High,Yes,No,11.0,Recharge Failed,2025-04-17,High,In Progress,30.0
